Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
,Social and behavioural science,9,Computer Science,Computing,,Male,Postdoc,United States,151-200,2017,Santa Fe,
Social Science,Social and behavioural science,7,Epidemiology,Health,,Female,Student,Australia,Unlisted,2013,Santa Fe,
Social Science,Social and behavioural science,2,Biology,Life sciences,Columbia,Male,Student,United States,201-300,2009,Santa Fe,
"Geography, Social Science",Social and behavioural science,3,Ecology,Life sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,4,Sociology,Social and behavioural science,Japan,Male,Student,United States,Top 50,2009,Santa Fe,
,Social and behavioural science,9,Neuroscience,Social and behavioural science,,Female,Student,United States,Top 50,2017,Santa Fe,
,Social and behavioural science,8,Physics,Physical sciences,,Female,Student,Philippines,Unlisted,2016,Santa Fe,
,Social and behavioural science,11,Physics,Physical sciences,,Female,Student,Philippines,Unlisted,2016,Santa Fe,
Economics,Social and behavioural science,11,Sustainability,Environmental protection,,Male,Researcher,Japan,Top 50,2014,Santa Fe,
Economics,Social and behavioural science,4,Economics,Social and behavioural science,Chinese,Male,Student,United States,Top 50,2012,Santa Fe,
Economics,Social and behavioural science,2,Economics,Social and behavioural science,Chinese,Male,Student,United States,Top 50,2012,Santa Fe,
Psychology,Social and behavioural science,4,Economics,Social and behavioural science,Italian,Female,Student,Italy,Unlisted,2014,Santa Fe,
,Social and behavioural science,11,History,Humanities,,Male,Researcher,Italy,Unlisted,2016,Santa Fe,
Social Science,Social and behavioural science,4,Geography,Social and behavioural science,,Female,PostDoc,Austria,151-200,2009,Santa Fe,
Human Behavior,Social and behavioural science,6,Bioinformatics,Life sciences;Computing,,Female,Student,Austria,151-200,2008,Santa Fe,
,Social and behavioural science,6,Biology,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
,Social and behavioural science,8,"Physics, Biology",Physical sciences;Life sciences,,Male,Researcher,United States,Top 50,2015,Santa Fe,
Economics,Social and behavioural science,4,Paleontology,Physical sciences,,Male,PostDoc,Switzerland,51-100,2012,Santa Fe,
Economics,Social and behavioural science,11,Chemistry,Physical sciences,Spanish,Male,Student,Switzerland,51-100,2014,Santa Fe,
Economics,Social and behavioural science,11,Applied Mathematics,Mathematics and statistics,Chinese,Male,Student,Sweden,51-100,2014,Santa Fe,
,Social and behavioural science,11,Political Science,Social and behavioural science,,Male,Industry,United States,Not University,2016,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,5,Sociology,Social and behavioural science,,Female,Student,Netherlands,51-100,2009,Santa Fe,
Economics,Social and behavioural science,11,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Economics,Social and behavioural science,11,Physics,Physical sciences,Spanish,Male,PostDoc,Belgium,201-300,2014,Santa Fe,
,Social and behavioural science;Architecture and building,4,Neuroscience,Social and behavioural science,Brazil,Male,Student,Brazil,301-400,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,5,"Economics, Data Science",Social and behavioural science;Mathematics and statistics,,Male,Student,United States,Top 50,2018,Santa Fe,
,Social and behavioural science;Architecture and building,5,Network Science,Computing,,Female,Student,United States,201-300,2018,Santa Fe,
,Social and behavioural science;Architecture and building,5,Computer Science,Computing,,Male,Student,United States,Unlisted,2018,Santa Fe,
,Social and behavioural science;Architecture and building,4,Computer Science,Computing,,Male,Researcher,Estonia,Unlisted,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,4,Data Science,Mathematics and statistics,,Female,Postdoc,United States,101-150,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,3,Data Science,Mathematics and statistics,,Female,Postdoc,United States,101-150,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,3,Complex Systems,Physical sciences,,Male,Student,China,201-300,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,3,Environmental Science,Life sciences,,Male,Student,United States,Top 50,2015,Santa Fe,Possibly published
,Social and behavioural science;Architecture and building,5,"International Development, Data",Social and behavioural science,,Female,Student,United Kingdom,Top 50,2018,Santa Fe,
,Social and behavioural science;Architecture and building,5,Urban Planning,Architecture and building,Singapore,Female,Government,Singapore,Not University,2018,Santa Fe,
,Social and behavioural science;Architecture and building,4,Economics,Social and behavioural science,,Male,Student,China,301-400,2015,Santa Fe,Possibly published
,Social and behavioural science;Computing,4,Linguistics,Humanities,,Male,Student,France,101-150,2017,Santa Fe,
,Social and behavioural science;Computing,4,"Medicine, Biology",Health;Life sciences,,Male,Student,United States,301-400,2016,Santa Fe,
,Social and behavioural science;Computing,8,Computer Science,Computing,,Male,Student,Turkey,Unlisted,2017,Santa Fe,
"Social Science, Network Science",Social and behavioural science;Computing,4,"Earth Science, Social Science",Physical Sciences,Netherlands,Female,PostDoc,Australia,Not University,2010,Santa Fe,
,Social and behavioural science;Computing,4,Business,Business and administration,United Kingdom,Male,Industry,United States,Not University,2017,Santa Fe,
"Social Science, Power Laws",Social and behavioural science;Computing,3,Management,Business and administration,,Male,Student,France,Unlisted,2009,Santa Fe,
"Social Science, Network Science",Social and behavioural science;Computing,4,"Computer Science, Social Science",Computing;Social and behavioural science,,Female,Student,United States,201-300,2010,Santa Fe,
,Social and behavioural science;Computing,8,Statistics,Mathematics and statistics,,Female,Professor,South Korea,Unlisted,2017,Santa Fe,
,Social and behavioural science;Computing,6,"Physics, Mathematics",Physical sciences;Mathematics and statistics,,Female,Professor,Serbia and Montenegro,Not University,2018,Santa Fe,
,Social and behavioural science;Computing,8,Physics,Physical sciences,,Female,Professor,Turkey,401-500,2017,Santa Fe,
,Social and behavioural science;Computing,4,Psychology,Social and behavioural science,,Male,Postdoc,United States,Top 50,2018,Santa Fe,
,Social and behavioural science;Computing,4,Cultural Evolution,Humanities,,Male,Student,New Zealand,Unlisted,2017,Santa Fe,
,Social and behavioural science;Computing,4,Physics,Physical sciences,,Female,Government,United States,Not University,2016,Santa Fe,
,Social and behavioural science;Computing,8,Economics,Social and behavioural science,,Male,Student,United States,Top 50,2017,Santa Fe,
,Social and behavioural science;Computing,4,Biology,Life sciences,Spain,Male,Student,Spain,201-300,2016,Santa Fe,
,Social and behavioural science;Computing,6,Mathematics,Mathematics and statistics,,Male,Student,United Kingdom,151-200,2018,Santa Fe,
"Social Science, Network Science",Social and behavioural science;Computing,4,Mathematics,Mathematics and statistics,,Male,Student,Sweden,51-100,2010,Santa Fe,
,Social and behavioural science;Computing,8,Biology,Life sciences,,Female,Student,Israel,151-200,2017,Santa Fe,
,Social and behavioural science;Computing,4,Computer Science,Computing,,Male,Student,Ireland,301-400,2018,Santa Fe,
,Social and behavioural science;Computing,6,Political Science,Social and behavioural science,,Male,Student,Netherlands,101-150,2018,Santa Fe,
,Social and behavioural science;Computing,4,"Psychology, Statistics",Social and behavioural science;Mathematics and statistics,Germany,Male,Student,Netherlands,101-150,2018,Santa Fe,
,Social and behavioural science;Computing,6,Mathematics,Mathematics and statistics,,Male,Student,United Kingdom,51-100,2018,Santa Fe,
,Social and behavioural science;Computing,4,Social Work,Social services,,Female,Student,United States,Top 50,2016,Santa Fe,
,Social and behavioural science;Computing,6,Computer Science,Computing,,Female,Student,United States,Top 50,2018,Santa Fe,
,Social and behavioural science;Computing,4,Operations,Engineering and engineering trades,,Female,Postdoc,Mexico,Unlisted,2017,Santa Fe,
,Social and behavioural science;Computing,8,Physics,Physical sciences,,Male,Student,United States,Top 50,2017,Santa Fe,
,Social and behavioural science;Computing,8,Economics,Social and behavioural science,,Male,Student,United Kingdom,Top 50,2017,Santa Fe,
,Social and behavioural science;Computing,4,Machine Learning,Computing,,Male,Student,United Kingdom,Top 50,2018,Santa Fe,
"Social Science, Network Science",Social and behavioural science;Computing,4,Sociology,Social and behavioural science,,Female,Student,United States,Top 50,2010,Santa Fe,
,Social and behavioural science;Computing,6,Computational Social Science,Computing;Social and behavioural science,,Male,Postdoc,United States,Top 50,2018,Santa Fe,
,Social and behavioural science;Computing,8,Agricultural Economics,Agriculture and forestry and fishery;Social and behavioural science,,Male,Student,United States,Top 50,2017,Santa Fe,
,Social and behavioural science;Environmental protection,8,Engineering,Engineering and engineering trades,China,Male,Student,Netherlands,151-200,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,Geography,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,Psychology,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,"Ecology, Evolution, and Behavior",Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,"Agriculture, Environment",Agriculture and forestry and fishery,Canada,Female,Student,United Kingdom,Top 50,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,Ecology,Life sciences,France,Male,Postdoc,United Kingdom,Top 50,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,Engineering,Engineering and engineering trades,,Female,Student,Canada,Top 50,2016,Santa Fe,
,Social and behavioural science;Environmental protection,8,"Sociology, Theoretical Physics",Social and behavioural science;Physical sciences,,Male,Student,Netherlands,51-100,2016,Santa Fe,
Economics,Social and behavioural science;Health,4,Applied Mathematics,Mathematics and statistics,Cuban,Male,Student,United States,101-150,2012,Santa Fe,
Economics,Social and behavioural science;Health,4,Statistics,Mathematics and statistics,,Male,Student,United States,Top 50,2012,Santa Fe,
Economics,Social and behavioural science;Health,4,Epidemiology,Health,United States,Male,Researcher,United States,Top 50,2012,Santa Fe,
Economics,Social and behavioural science;Health,4,Physics,Physical sciences,Canadian,Male,Student,Canada,201-300,2012,Santa Fe,
,Social and behavioural science;Humanities,10,"Biology, Engineering",Life sciences;Engineering,,Female,Student,United States,101-150,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Computer Science,Computing,,Male,Student,Turkey,Unlisted,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Islamic Studies,Humanities,,Male,Student,United States,101-150,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Physics,Physical sciences,,Male,Government,United States,Not University,2017,Santa Fe,
,Social and behavioural science;Humanities,10,"Physics, Economics",Physical sciences;Social and behavioural science,,Male,Government,United States,Not University,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Engineering,Engineering and engineering trades,,Female,Student,United States,Top 50,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Global Studies,Social and behavioural science,,Female,Postdoc,United States,Top 50,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Ecology,Life sciences,,Female,Student,Netherlands,101-150,2017,Santa Fe,
,Social and behavioural science;Humanities,10,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Female,Student,Netherlands,51-100,2017,Santa Fe,
,Social and behavioural science;Humanities,10,Medicine,Health,,Male,Government,United States,Not University,2017,Santa Fe,
,Social and behavioural science;Life sciences,2,Engineering,Engineering and engineering trades,China,Male,Student,Netherlands,151-200,2016,Santa Fe,
,Social and behavioural science;Life sciences,2,Economics,Social and behavioural science,,Female,Student,United States,201-300,2016,Santa Fe,
Meta,Social and behavioural science;Mathematics and statistics,5,Physics,Physical Sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
Meta,Social and behavioural science;Mathematics and statistics,5,Economics,Social and behavioural science,,Male,Student,United States,201-300,2009,Santa Fe,
,Social and behavioural science;Mathematics and statistics,4,Physics,Physical sciences,,Male,Student,United States,Unlisted,2018,Santa Fe,
Meta,Social and behavioural science;Mathematics and statistics,5,Biology,Life sciences,,Female,Student,Portugal,Not University,2009,Santa Fe,
,Social and behavioural science;Mathematics and statistics,4,"Physics, Network Science",Physical sciences;Computing,,Male,Student,Canada,201-300,2018,Santa Fe,
,Social and behavioural science;Mathematics and statistics,1,Computer Science,Computing,,Male,Student,United States,Top 50,2018,Santa Fe,
Meta,Social and behavioural science;Mathematics and statistics,5,Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2009,Santa Fe,
,Social and behavioural science;Mathematics and statistics,4,Physics,Physical sciences,United Kingdom,Male,Student,United States,Top 50,2018,Santa Fe,
,Social and behavioural science;Mathematics and statistics,4,Mathematics,Mathematics and statistics,,Female,Student,United Kingdom,Top 50,2018,Santa Fe,
Meta,Social and behavioural science;Mathematics and statistics,5,Management,Business and administration,,Female,Student,United States,Top 50,2009,Santa Fe,
,Social and behavioural science;Physical sciences,9,Engineering,Engineering and engineering trades,,Male,Researcher,United States,Not University,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Neuroscience,Social and behavioural science,,Male,Postdoc,United States,Top 50,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Geography,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Psychology,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Social Epidemiology,Health,,Male,Researcher,United Kingdom,151-200,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Economics,Social and behavioural science,,Male,Student,Italy,151-200,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,"Environmental Studies, Philosophy",Life sciences;Humanities,,Male,Student,United States,301-400,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,Engineering,Engineering and engineering trades,,Female,Student,Canada,Top 50,2016,Santa Fe,
,Social and behavioural science;Physical sciences,9,History,Humanities,,Male,Researcher,Italy,Unlisted,2016,Santa Fe,
,Social and behavioural science,4,Mathematics,Mathematics and statistics,,Male,Student,United States,101-150,2006,Beijing,
,Social and behavioural science,8,,,,,,China,201-300,2005,Beijing,
,Social and behavioural science,8,,,,,,China,201-300,2005,Beijing,
,Social and behavioural science,3,,,,,,China,201-300,2005,Beijing,
,Social and behavioural science,3,,,,Male,,China,201-300,2005,Beijing,
,Social and behavioural science,3,,,,,,China,201-300,2005,Beijing,
"Game Theory, Economics",Social and behavioural science,5,"Artificial Intelligence, Computer Science",Computing,,Male,Industry,United Kingdom,Not University,2007,Santa Fe,
,Social and behavioural science,5,Epidemiology,Health,,,Student,China,Not University,2006,Beijing,
Social Science,Social and behavioural science,6,Human Behavior,Social and behavioural science,China,Male,Student,United States,Top 50,2008,Santa Fe,
,Social and behavioural science,8,,,,Male,,India,Not University,2005,Beijing,
,Social and behavioural science,6,,,,Male,,India,Not University,2005,Beijing,
"Cognition, Human Behavior",Social and behavioural science,4,Complex Systems,Physical sciences,,Male,Student,Sweden,201-300,2008,Santa Fe,
,Social and behavioural science,6,,,,Male,,China,Not University,2005,Beijing,
,Social and behavioural science,5,Neuroscience,Social and behavioural science,,Male,Student,China,Not University,2006,Beijing,
"Environmental Science, Economics",Social and behavioural science,7,"Biology, Epigenetics",Life sciences,,Male,Student,China,Not University,2007,Beijing,
"Environmental Science, Economics",Social and behavioural science,7,Mathematics and Systems Science,Mathematics and statistics,,Female,,China,Not University,2007,Beijing,
"Environmental Science, Economics",Social and behavioural science,7,Mathematics and Systems Science,Mathematics and statistics,,Female,Student,China,Not University,2007,Beijing,
,Social and behavioural science,4,Engineering,Engineering and engineering trades,,Male,Student,China,Not University,2006,Beijing,
Social Science,Social and behavioural science,2,Economics,Social and behavioural science,,Male,Student,United States,Top 50,2007,Santa Fe,
,Social and behavioural science,3,Engineering,Engineering and engineering trades,,Male,Student,China,201-300,2006,Beijing,
,Social and behavioural science,4,,,,Male,,United States,Not University,2005,Santa Fe,
,Social and behavioural science,2,Engineering,Engineering and engineering trades,Canada,Male,,Canada,Unlisted,2005,Santa Fe,
Economics,Social and behavioural science,2,Political Science,Social and behavioural science,,Male,,United States,101-150,2007,Santa Fe,
Human Behavior,Social and behavioural science,5,Political Science,Social and behavioural science,,Male,,United States,101-150,2007,Santa Fe,
,Social and behavioural science,3,Ecology,Life sciences,,Female,Student,United States,201-300,2006,Beijing,
,Social and behavioural science,3,,,,,Student,Germany,Not University,2006,Beijing,
,Social and behavioural science,5,Biology,Life sciences,,,Student,China,101-150,2006,Beijing,
Cognitive Science,Social and behavioural science,2,Economics,Social and behavioural science,,Male,Student,United States,201-300,2006,Santa Fe,
"Sociology, Migration",Social and behavioural science,4,Economics,Social and behavioural science,,Male,Student,United States,201-300,2006,Santa Fe,
,Social and behavioural science,6,,,,Male,,Japan,Not University,2005,Beijing,
,Social and behavioural science,6,,,,Female,,United States,Top 50,2005,Beijing,
,Social and behavioural science,3,,,,Male,,United Kingdom,Top 50,2005,Santa Fe,
,Social and behavioural science,3,Biology,Life sciences,,Male,Student,United States,101-150,2006,Beijing,
Biology,Social and behavioural science,5,,,,Female,,Canada,Not University,2006,Santa Fe,
,Social and behavioural science,3,Physics,Physical sciences,,,Student,India,Not University,2006,Beijing,
,Social and behavioural science,6,,,,Male,,China,Not University,2005,Beijing,
,Social and behavioural science,5,Geology,Physical sciences,,Male,Student,China,Not University,2006,Beijing,
,Social and behavioural science,4,"Management Science, Engineering",Mathematics and statistics,,,Student,China,Not University,2006,Beijing,
,Social and behavioural science,2,,,,Male,,China,Not University,2005,Beijing,
,Social and behavioural science,4,,,,Male,,China,Not University,2005,Beijing,
Social Science,Social and behavioural science,6,,Business and administration,,Female,Industry,United States,Not University,2008,Santa Fe,
,Social and behavioural science,3,,,,Female,Industry,United States,Not University,2005,Santa Fe,
,Social and behavioural science,5,,,,,,Australia,201-300,2006,Beijing,
,Social and behavioural science,8,,,,,,India,Not University,2005,Beijing,
,Social and behavioural science,4,Urban Studies,Social and behavioural science,,Male,Student,China,101-150,2006,Beijing,
,Social and behavioural science,3,Physics,Physical sciences,,Male,Student,China,301-400,2006,Beijing,
Social Science,Social and behavioural science,6,Cognitive Science,Social and behavioural science,,Male,Industry,United States,Not University,2008,Santa Fe,
Cognition,Social and behavioural science,4,"Political Theory, Philosophy, Sociology",Social and behavioural science,Germany,Male,Student ,United Kingdom,151-200,2007,Santa Fe,
,Social and behavioural science,5,Aeronautics,Engineering and engineering trades,,Female,Student,United States,Top 50,2006,Beijing,
"Computer Science, Sociology",Social and behavioural science,3,Engineering,Engineering and engineering trades,,Male,Student,United States,Top 50,2006,Santa Fe,
Biology,Social and behavioural science,5,Biology,Life sciences,,Female,Student,Germany,Not University,2006,Santa Fe,
Social Networks,Social and behavioural science,4,Political Science,Social and behavioural science,Greece,Male,Student,Canada,51-100,2007,Santa Fe,
,Social and behavioural science,8,,,,,,Serbia and Montenegro,Unlisted,2005,Beijing,
Social Science,Social and behavioural science,6,,,,Male,Industry,,Not University,2008,Santa Fe,
,Social and behavioural science,3,,,,Male,,China,51-100,2005,Beijing,
,Social and behavioural science,5,Management Science,Business and administration,,Male,Student,China,51-100,2006,Beijing,
"Environmental Science, Economics",Social and behavioural science,7,"Electronics Engineering, Computer Science",Engineering and engineering trades,China,Female,Student,China,51-100,2007,Beijing,
Biology,Social and behavioural science,5,"Biology, Engineering",Life sciences;Engineering and engineering trades,,Female,Industry,United States,Not University,2006,Santa Fe,
Social Science,Social and behavioural science,1,Visual Studies,Arts,,Male,Professor,United States,Unlisted,2008,Santa Fe,
"Cognition, Human Behavior",Social and behavioural science,4,Visual Studies,Arts,,Male,Professor,United States,Unlisted,2008,Santa Fe,
Social Networks,Social and behavioural science,4,Sociology,Social and behavioural science,Israel,Male,Student ,United States,Top 50,2007,Santa Fe,
Cognition,Social and behavioural science,4,Sociology,Social and behavioural science,Israel,Male,Student ,United States,Top 50,2007,Santa Fe,
Human Behavior,Social and behavioural science,3,Biology,Life sciences,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
"Game Theory, Economics",Social and behavioural science,5,"Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,Top 50,2007,Santa Fe,
"Computer Science, Sociology",Social and behavioural science,3,Sociology,Social and behavioural science,,Female,Student,United States,Top 50,2006,Santa Fe,
"Game Theory, Computer Sciencs",Social and behavioural science,5,Biology,Life sciences,,Female,Student,United States,Top 50,2006,Santa Fe,
Human Behavior,Social and behavioural science,3,Architecture,Architecture and building,,Male,Student,United States,Unlisted,2008,Santa Fe,
,Social and behavioural science,3,,,,Male,,United States,101-150,2005,Santa Fe,
Cognition,Social and behavioural science,4,Computational Science,Computing,,Male,Professor,United States,Not University,2007,Santa Fe,
,Social and behavioural science,1,,,,Male,,United States,Not University,2005,Santa Fe,
,Social and behavioural science,8,,,,,,China,Unlisted,2005,Beijing,
,Social and behavioural science,5,,,,,,China,Unlisted,2006,Beijing,"The paper is by Simon Huang, which does not exist in the participant list. There is also a Huang Cao."
,Social and behavioural science,4,Economics,Social and behavioural science,,Female,Student,China,101-150,2006,Beijing,
,Social and behavioural science,3,,,,Female,,United States,Unlisted,2005,Santa Fe,
,Social and behavioural science,4,,,,Male,,United States,Top 50,2005,Santa Fe,
,Social and behavioural science,6,,,,Male,,United States,Top 50,2005,Beijing,
,Social and behavioural science,5,Environmental Sciences,Environmental protection,,Female,Student,United States,Top 50,2006,Beijing,
"Computer Science, Sociology",Social and behavioural science,3,"Computer Science, Public Health",Computing;Social and behavioural science,,Female,PostDoc,United States,Top 50,2006,Santa Fe,
Cognition,Social and behavioural science,3,Cognitive Neuroscience,Social and behavioural science,,Male,Postdoc,Israel,Not University,2008,Santa Fe,
Human Behavior,Social and behavioural science,3,"Biomathematics, Theoretical Biology and Ecology",Life sciences;Mathematics and statistics,,Female,Student,Israel,151-200,2007,Santa Fe,
Social Networks,Social and behavioural science,4,"Biomathematics, Theoretical Biology and Ecology",Life sciences;Mathematics and statistics,,Female,Student,Israel,151-200,2007,Santa Fe,
Cognition,Social and behavioural science,4,Marketing,Business and administration,,Male,Student ,United States,151-200,2007,Santa Fe,
,Social and behavioural science,5,Cognitive Sciences,Social and behavioural science,,Male,Student,China,151-200,2006,Beijing,
,Social and behavioural science,4,,,,,,China,Top 50,2005,Beijing,
,Social and behavioural science,3,Engineering,Engineering and engineering trades,,Male,Student,China,Top 50,2006,Beijing,
,Social and behavioural science,3,English,Humanities,,,Student,China,Top 50,2006,Beijing,
,Social and behavioural science,4,Engineering,Engineering and engineering trades,,Male,Student,China,Top 50,2006,Beijing,
,Social and behavioural science,5,Engineering,Engineering and engineering trades,,Female,Student,China,Top 50,2006,Beijing,
,Social and behavioural science,5,Engineering,Engineering and engineering trades,,Male,Student,China,Top 50,2006,Beijing,
"Environmental Science, Economics",Social and behavioural science,7,,,,Male,,China,Top 50,2007,Beijing,
Social Networks,Social and behavioural science,4,"Biology, Physics",Life sciences;Physical sciences,,Male,Student,Germany,Unlisted,2007,Santa Fe,
"Sociology, Migration",Social and behavioural science,4,Law,Law,,Male,Student,United States,151-200,2006,Santa Fe,
Economics,Social and behavioural science,2,Law,Law,,Male,Student,United States,151-200,2006,Santa Fe,
"Game Theory, Computer Sciencs",Social and behavioural science,5,,,,Male,Student,Colombia,Unlisted,2006,Santa Fe,
Economics,Social and behavioural science,2,Economics,Social and behavioural science,,Male,Professor,Colombia,Unlisted,2007,Santa Fe,
,Social and behavioural science,6,,,,Female,,Italy,Unlisted,2005,Beijing,
,Social and behavioural science,3,Biology,Life sciences,,Female,PostDoc,United Kingdom,Top 50,2006,Beijing,Bio edited 2010
"Cognition, Human Behavior",Social and behavioural science,4,"Logic, Linguistics",Humanities,China,Female,Student,Netherlands,101-150,2008,Santa Fe,
,Social and behavioural science,6,,,,Male,,United States,101-150,2005,Beijing,
,Social and behavioural science,3,Hydrology,Engineering and engineering trades,,Male,Student,United States,101-150,2006,Beijing,
Human Behavior,Social and behavioural science,3,"Architecture, Urban Planning",Architecture and building,Brazil,Female,Student,Germany,101-150,2008,Santa Fe,
Cognition,Social and behavioural science,3,Statistics,Mathematics and statistics,,Male,Student,Canada,Top 50,2008,Santa Fe,
"Environmental Science, Economics",Social and behavioural science,7,Medical Science,Health,,Male,Student,United States,Top 50,2007,Beijing,
Biology,Social and behavioural science,5,Engineering,Engineering and engineering trades,,Male,PostDoc,United States,Top 50,2006,Santa Fe,
,Social and behavioural science,3,,,,Female,,United States,Top 50,2005,Santa Fe,
Human Behavior,Social and behavioural science,3,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,,Male,Student,United States,51-100,2007,Santa Fe,
,Social and behavioural science,5,"Transportation, Tech, Policy",Social and behavioural science,,Female,Student,United States,51-100,2006,Beijing,
Human Behavior,Social and behavioural science,5,Archaeology,Humanities,,Female,Student,United States,Top 50,2007,Santa Fe,
"Computer Science, Sociology",Social and behavioural science,3,"Physician Researcher, Medicine",Health,,Male,,United States,Top 50,2006,Santa Fe,
,Social and behavioural science,6,,,,Male,,United States,Top 50,2005,Beijing,
,Social and behavioural science,3,,,,Male,,United States,Top 50,2005,Santa Fe,
,Social and behavioural science,4,Computer Science,Computing,,Male,Student,United Kingdom,Top 50,2006,Beijing,
,Social and behavioural science,3,,,,Male,,New Zealand,401-500,2005,Santa Fe,
,Social and behavioural science,3,,,,Female,,United States,301-400,2005,Santa Fe,
"Sociology, Migration",Social and behavioural science,4,Computer Science,Computing,,Male,Student,Portugal,Unlisted,2006,Santa Fe,
,Social and behavioural science,2,,,,Female,,United States,301-400,2005,Santa Fe,
,Social and behavioural science,4,,,,Male,,United Kingdom,Top 50,2005,Santa Fe,
"Game Theory, Economics",Social and behavioural science,5,"Linguistics, Artificial Intelligence",Humanities,United Kingdom,Female,Student,United Kingdom,Top 50,2007,Santa Fe,
Social Science,Social and behavioural science,6,Geography,Physical sciences,,Male,Student,United Kingdom,Top 50,2008,Santa Fe,
"Game Theory, Computer Sciencs",Social and behavioural science,5,Architecture,Architecture and building,,Male,,United States,Top 50,2006,Santa Fe,
"Game Theory, Computer Sciencs",Social and behavioural science,5,Ecology,Life sciences,,Male,Student,United Kingdom,101-150,2006,Santa Fe,
"Environmental Science, Economics",Social and behavioural science,7,,,,Female,Professor,Canada,Unlisted,2007,Beijing,
Human Behavior,Social and behavioural science,3,Computer Science,Computing,,Male,Student,United States,151-200,2008,Santa Fe,
"Voting, Political Science, Social Networks",Social and behavioural science,4,Computer Science,Computing,,Male,Student,United States,151-200,2006,Santa Fe,
Social Science,Social and behavioural science,2,"Engineering, Policy",Engineering and engineering trades;Environmental protection,,Male,Student,United States,Top 50,2007,Santa Fe,
Human Behavior,Social and behavioural science,5,"Engineering, Policy",Engineering and engineering trades;Environmental protection,,Male,Student,United States,Top 50,2007,Santa Fe,
,Social and behavioural science,3,,,,Male,,United States,Top 50,2005,Santa Fe,
"Voting, Political Science, Social Networks",Social and behavioural science,4,,,,Female,,United States,Top 50,2006,Santa Fe,
"Voting, Political Science, Social Networks",Social and behavioural science,4,Physics,Physical sciences,,Male,Student,United States,Top 50,2006,Santa Fe,
Economics,Social and behavioural science,2,,,,Female,,United States,Top 50,2006,Santa Fe,
Human Behavior,Social and behavioural science,5,"Anthropology, Evolutionary Ecology",Social and behavioural science;Life sciences,,Male,Student,United States,301-400,2007,Santa Fe,
,Social and behavioural science,6,,,,Male,,United States,301-400,2005,Beijing,
Human Behavior,Social and behavioural science,5,Economics,Social and behavioural science,,Male,Postdoc,Australia,101-150,2007,Santa Fe,
,Social and behavioural science,5,Economics,Social and behavioural science,,Male,Student,United Kingdom,Top 50,2006,Beijing,
"Cognition, Human Behavior",Social and behavioural science,4,"Genomics, Computational Biology",Life sciences,,Female,Student,United States,Top 50,2008,Santa Fe,
,Social and behavioural science,4,,,,Female,,United States,Top 50,2005,Santa Fe,
,Social and behavioural science,5,Philosophy,Humanities,,Male,PostDoc,United States,Top 50,2006,Beijing,
"Voting, Political Science, Social Networks",Social and behavioural science,4,Economics,Social and behavioural science,,Male,Student,United States,51-100,2006,Santa Fe,
,Social and behavioural science,4,,,,,,China,201-300,2005,Beijing,
,Social and behavioural science,5,,,,Male,Student,China,201-300,2006,Beijing,"Citation is Arthur Huang, but such a name does not exist. (There is only Huang Cao and Yan Huang)"
,Social and behavioural science,4,,,,,,China,201-300,2005,Beijing,
